plate_is_use_for,plate_is_on,width,min_height,max_height,depth,angle,can_bind,url,image_url
i,g,80,4,-1,15.5,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A9A8/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
i,g,80,4.5,-1,17.5,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A9F8/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
i,g,80,5,-1,20,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A9LM/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
i,g,80,5.5,-1,20,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A9SA/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
i,g,80,6,-1,20,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%83%B3%E3%82%A8%E3%82%A4%E3%83%86%E3%82%AF%E3%83%8E-%E6%AE%B5%E5%B7%AE%E8%A7%A3%E6%B6%88%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8C%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97%E3%80%8D-80-30/dp/B009L3A9WG/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E6%AE%B5%E5%B7%AE%2B3cm&qid=1572327381&sr=8-5&th=1,https://images-na.ssl-images-amazon.com/images/I/31FLGJmyBfL.jpg
o,s,90.5,5,20,83,-1,n,https://www.monotaro.com/p/0930/8723/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono09308723-141104-02.jpg
o,s,90.5,5,20,83,-1,n,https://www.monotaro.com/p/0930/8732/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono09308732-141104-02.jpg
o,s,90.5,5,30,125,-1,n,https://www.monotaro.com/p/0930/8748/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono09308723-141104-02.jpg
o,s,90.5,5,30,125,-1,n,https://www.monotaro.com/p/0930/8757/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono09308732-141104-02.jpg
o,s,90.5,5,40,150,-1,n,https://www.monotaro.com/p/0930/8766/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono09308723-141104-02.jpg
o,g,60,9.5,-1,25,-1,y,https://www.monotaro.com/p/0453/9404/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono04539404-150407-02.jpg
o,g,60,14.5,-1,33,-1,y,https://www.monotaro.com/p/0453/9413/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono04539404-150407-02.jpg
o,g,60,4.5,-1,15,-1,y,https://www.monotaro.com/p/3535/1626/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono35351626-101124-02.jpg
o,g,60,9.5,-1,25,-1,y,https://www.monotaro.com/p/3535/1635/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono35351626-101124-04.jpg
o,g,60,9.5,-1,25,-1,y,https://www.monotaro.com/p/3535/1644/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono35351644-101124-02.jpg
o,g,90,9.5,-1,25,-1,y,https://www.monotaro.com/p/3535/1653/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono35351653-101124-02.jpg
o,g,60,14.5,-1,40,-1,y,https://www.monotaro.com/p/3535/1662/,https://jp.images-monotaro.com/Monotaro3/pi/full/mono35351662-101124-02.jpg
o,s,85,5,7.5,30,-1,y,https://www.amazon.co.jp/%E5%B1%8B%E5%86%85%E5%A4%96%E7%94%A8%E3%81%AE%E5%AE%89%E5%BF%83%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97-%E3%83%95%E3%83%AA%E3%83%BC%E3%82%B5%E3%82%A4%E3%82%BA-%E9%95%B7%E3%81%9585cm-%E5%B9%8530cm-MR807-30/dp/B07TC4VVH9/ref=sr_1_23?keywords=%E6%AE%B5%E5%B7%AE%E3%83%97%E3%83%AC%E3%83%BC%E3%83%88&pd_rd_r=17df5fc1-e567-4d50-a389-4638057edb6b&pd_rd_w=BiuRN&pd_rd_wg=KoAAX&pf_rd_p=b067a5e1-d9a1-4d5b-937c-b4b8bc65ef1a&pf_rd_r=TZHDP7FFHEXAQPJA8T95&qid=1572678221&s=industrial&sr=1-23,https://images-na.ssl-images-amazon.com/images/I/817jN9HC5NL._SL1000_.jpg
o,s,30,3,10,15,-1,y,https://www.amazon.co.jp/%E3%82%B7%E3%82%AF%E3%83%AD%E3%82%B1%E3%82%A2-%E5%AE%89%E5%BF%83%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%97-%E6%90%BA%E5%B8%AF%E7%94%A8-%E3%83%90%E3%83%83%E3%82%AF%E4%BB%98-No-649/dp/B00CF8UVPY/ref=sr_1_26?keywords=%E6%AE%B5%E5%B7%AE%E3%83%97%E3%83%AC%E3%83%BC%E3%83%88&pd_rd_r=17df5fc1-e567-4d50-a389-4638057edb6b&pd_rd_w=BiuRN&pd_rd_wg=KoAAX&pf_rd_p=b067a5e1-d9a1-4d5b-937c-b4b8bc65ef1a&pf_rd_r=TZHDP7FFHEXAQPJA8T95&qid=1572678221&s=industrial&sr=1-26,https://images-na.ssl-images-amazon.com/images/I/81uxkII3L8L._SL1500_.jpg
